,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,3.1365590400,3.1652470800,3.1269963600,3.1652470800,3.1461217200,0.607902,0.115781,1,0
1,2019-06-18,3.1652470800,3.1843724400,3.1365590400,3.1556844000,3.1652470800,-0.302115,0.149590,1,0
2,2019-06-19,3.1843724400,3.2034978000,3.1748097600,3.1843724400,3.1556844000,0.909090,0.202022,1,0
3,2019-06-20,3.1843724400,3.2226231600,3.1748097600,3.2226231600,3.1843724400,1.201200,0.235510,1,0
4,2019-06-21,3.2417485200,3.2799992400,3.2226231600,3.2608738800,3.2226231600,1.186950,0.337249,1,0
5,2019-06-24,3.2513112000,3.2991246000,3.2417485200,3.2799992400,3.2608738800,0.586510,0.503246,1,0
6,2019-06-25,3.2799992400,3.2991246000,3.2417485200,3.2799992400,3.2799992400,0.000000,0.258213,1,0
7,2019-06-26,3.2608738800,3.2895619200,3.2608738800,3.2895619200,3.2799992400,0.291545,0.223688,1,0
8,2019-06-27,3.2895619200,3.2991246000,3.2608738800,3.2799992400,3.2895619200,-0.290697,0.310232,1,0
9,2019-06-28,3.2700000000,3.2800000000,3.2300000000,3.2700000000,3.2800000000,-0.304878,0.381064,1,0
10,2019-07-01,3.3000000000,3.3300000000,3.2800000000,3.2900000000,3.2700000000,0.611620,0.319696,1,0
11,2019-07-02,3.2900000000,3.3000000000,3.2700000000,3.2900000000,3.2900000000,0.000000,0.206220,1,0
12,2019-07-03,3.2700000000,3.2900000000,3.2600000000,3.2700000000,3.2900000000,-0.607902,0.149949,1,0
13,2019-07-04,3.2800000000,3.3000000000,3.2400000000,3.2900000000,3.2700000000,0.611620,0.269079,1,0
14,2019-07-05,3.2900000000,3.3400000000,3.2600000000,3.3200000000,3.2900000000,0.911853,0.452537,1,0
15,2019-07-08,3.3000000000,3.3100000000,3.2200000000,3.2400000000,3.3200000000,-2.409636,0.334160,1,0
16,2019-07-09,3.2400000000,3.2500000000,3.2100000000,3.2200000000,3.2400000000,-0.617283,0.170550,1,0
17,2019-07-10,3.2200000000,3.2400000000,3.2000000000,3.2100000000,3.2200000000,-0.310559,0.088384,1,0
18,2019-07-11,3.2100000000,3.2400000000,3.2000000000,3.2200000000,3.2100000000,0.311526,0.106882,1,0
19,2019-07-12,3.2200000000,3.2300000000,3.2000000000,3.2100000000,3.2200000000,-0.310559,0.093671,1,0
20,2019-07-15,3.2100000000,3.2300000000,3.1900000000,3.2200000000,3.2100000000,0.311526,0.140931,1,0
21,2019-07-16,3.2200000000,3.2200000000,3.2000000000,3.2200000000,3.2200000000,0.000000,0.085388,1,0
22,2019-07-17,3.2200000000,3.2200000000,3.2000000000,3.2000000000,3.2200000000,-0.621117,0.107864,1,0
23,2019-07-18,3.2000000000,3.2000000000,3.1600000000,3.1600000000,3.2000000000,-1.249999,0.126290,1,0
24,2019-07-19,3.1700000000,3.1900000000,3.1600000000,3.1800000000,3.1600000000,0.632911,0.080821,1,0
25,2019-07-22,3.1800000000,3.1900000000,3.0900000000,3.1200000000,3.1800000000,-1.886798,0.199144,1,0
26,2019-07-23,3.1200000000,3.1400000000,3.1000000000,3.1200000000,3.1200000000,0.000000,0.143685,1,0
27,2019-07-24,3.1200000000,3.1400000000,3.1200000000,3.1300000000,3.1200000000,0.320520,0.154680,1,0
28,2019-07-25,3.1400000000,3.1500000000,3.1300000000,3.1400000000,3.1300000000,0.319489,0.107867,1,0
29,2019-07-26,3.1400000000,3.1500000000,3.1200000000,3.1500000000,3.1400000000,0.318500,0.111300,1,0
30,2019-07-29,3.1400000000,3.1500000000,3.1300000000,3.1400000000,3.1500000000,-0.317460,0.095536,1,0
31,2019-07-30,3.1400000000,3.1600000000,3.1300000000,3.1500000000,3.1400000000,0.318500,0.100400,1,0
32,2019-07-31,3.1400000000,3.1600000000,3.1300000000,3.1300000000,3.1500000000,-0.634900,0.135000,1,0
33,2019-08-01,3.1300000000,3.1500000000,3.1200000000,3.1500000000,3.1300000000,0.639000,0.168100,1,0
