,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,9.6800000000,9.7400000000,9.4600000000,9.5100000000,9.6800000000,-1.756199,3.170420,1,0
1,2019-06-18,9.5800000000,9.5800000000,9.2300000000,9.3000000000,9.5100000000,-2.208202,4.068717,1,0
2,2019-06-19,9.5100000000,9.6700000000,9.4000000000,9.4200000000,9.3000000000,1.290321,4.496448,1,0
3,2019-06-20,9.3600000000,9.5800000000,9.2200000000,9.4800000000,9.4200000000,0.636937,4.734045,1,0
4,2019-06-21,10.4300000000,10.4300000000,10.4300000000,10.4300000000,9.4800000000,10.021110,1.653664,1,0
5,2019-06-24,11.0000000000,11.4700000000,10.8100000000,11.4700000000,10.4300000000,9.971236,7.798221,1,0
6,2019-06-25,11.3300000000,11.3300000000,10.6500000000,10.8600000000,11.4700000000,-5.318227,14.146128,1,0
7,2019-06-26,10.7000000000,11.7500000000,10.6200000000,10.6600000000,10.8600000000,-1.841619,10.743210,1,0
8,2019-06-27,10.6800000000,11.2600000000,10.3500000000,11.0900000000,10.6600000000,4.033774,10.874983,1,0
9,2019-06-28,10.8400000000,10.9000000000,10.3500000000,10.4100000000,11.0900000000,-6.131653,7.907957,1,0
10,2019-07-01,10.6300000000,11.1200000000,10.6300000000,10.8000000000,10.4100000000,3.746401,8.418884,1,0
11,2019-07-02,10.8900000000,11.3900000000,10.7100000000,11.1000000000,10.8000000000,2.777780,11.103855,1,0
12,2019-07-03,10.9300000000,11.0000000000,10.5500000000,10.6600000000,11.1000000000,-3.963969,6.016551,1,0
13,2019-07-04,10.8000000000,10.8500000000,10.2100000000,10.3600000000,10.6600000000,-2.814261,5.092845,1,0
14,2019-07-05,10.4200000000,11.1900000000,10.3500000000,10.9500000000,10.3600000000,5.694983,8.149954,1,0
15,2019-07-08,10.8500000000,10.8700000000,10.3000000000,10.3000000000,10.9500000000,-5.936070,6.143546,1,0
16,2019-07-09,10.2200000000,10.3900000000,9.9600000000,10.1300000000,10.3000000000,-1.650486,4.297091,1,0
17,2019-07-10,10.0900000000,10.4300000000,9.9600000000,10.1500000000,10.1300000000,0.197429,3.533785,1,0
18,2019-07-11,10.2000000000,10.2100000000,9.8400000000,9.9000000000,10.1500000000,-2.463054,2.942793,1,0
19,2019-07-12,9.8200000000,10.0500000000,9.8200000000,9.8900000000,9.9000000000,-0.101003,1.698510,1,0
20,2019-07-15,9.8600000000,10.3300000000,9.8400000000,10.2000000000,9.8900000000,3.134474,3.216678,1,0
21,2019-07-16,10.1800000000,10.4000000000,10.1200000000,10.1400000000,10.2000000000,-0.588230,2.328184,1,0
22,2019-07-17,10.1300000000,10.5600000000,10.0500000000,10.3600000000,10.1400000000,2.169618,4.122965,1,0
23,2019-07-18,10.2200000000,10.2800000000,9.9100000000,9.9300000000,10.3600000000,-4.150573,3.250510,1,0
24,2019-07-19,9.9500000000,10.2500000000,9.9500000000,10.1000000000,9.9300000000,1.711985,2.028209,1,0
25,2019-07-22,10.1000000000,10.1500000000,9.4400000000,9.5400000000,10.1000000000,-5.544559,3.019953,1,0
