,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,2.8300000000,2.9000000000,2.8300000000,2.9000000000,2.9000000000,0.000000,0.122400,1,1
1,2019-08-14,2.8900000000,2.9200000000,2.7600000000,2.8800000000,2.9000000000,-0.689700,0.385300,1,1
2,2019-08-15,2.8100000000,2.9100000000,2.8100000000,2.9100000000,2.8800000000,1.041700,0.238000,1,1
3,2019-08-16,2.8500000000,2.9200000000,2.8300000000,2.9000000000,2.9100000000,-0.343600,0.156500,1,1
4,2019-08-19,2.9300000000,2.9500000000,2.8800000000,2.9400000000,2.9000000000,1.379300,0.177000,1,1
5,2019-08-20,2.9400000000,2.9400000000,2.8900000000,2.9200000000,2.9400000000,-0.680300,0.157500,1,1
6,2019-08-21,2.8800000000,2.9100000000,2.8700000000,2.9000000000,2.9200000000,-0.684900,0.186900,1,1
7,2019-08-22,2.8800000000,2.9200000000,2.8800000000,2.9100000000,2.9000000000,0.344800,0.117200,1,1
8,2019-08-23,2.9200000000,2.9200000000,2.8200000000,2.8600000000,2.9100000000,-1.718200,0.343000,1,1
9,2019-08-26,2.8500000000,3.0000000000,2.8200000000,3.0000000000,2.8600000000,4.895100,0.599000,1,1
10,2019-08-27,3.0400000000,3.1500000000,3.0300000000,3.1500000000,3.0000000000,5.000000,0.283300,1,1
11,2019-08-28,3.2700000000,3.3100000000,3.1600000000,3.2800000000,3.1500000000,4.127000,1.517800,1,1
12,2019-08-29,3.2000000000,3.2800000000,3.1600000000,3.1700000000,3.2800000000,-3.353700,0.636900,1,1
13,2019-08-30,3.2300000000,3.2400000000,3.1500000000,3.1800000000,3.1700000000,0.315500,0.268000,1,1
14,2019-09-02,3.1900000000,3.2300000000,3.1000000000,3.1900000000,3.1800000000,0.314500,0.189800,1,1
15,2019-09-03,3.2400000000,3.2500000000,3.1500000000,3.2300000000,3.1900000000,1.253900,0.210100,1,1
16,2019-09-04,3.1900000000,3.3800000000,3.1900000000,3.3400000000,3.2300000000,3.405600,0.599200,1,1
17,2019-09-05,3.3200000000,3.3700000000,3.3100000000,3.3300000000,3.3400000000,-0.299400,0.334200,1,1
18,2019-09-06,3.3300000000,3.4700000000,3.3200000000,3.4500000000,3.3300000000,3.603600,0.635600,1,1
19,2019-09-09,3.4800000000,3.6200000000,3.4800000000,3.6200000000,3.4500000000,4.927500,1.106800,1,1
20,2019-09-10,3.6500000000,3.8000000000,3.6200000000,3.8000000000,3.6200000000,4.972400,1.394000,1,1
21,2019-09-11,3.8100000000,3.8100000000,3.6100000000,3.6100000000,3.8000000000,-5.000000,1.007100,1,1
22,2019-09-12,3.6000000000,3.7800000000,3.4400000000,3.7600000000,3.6100000000,4.155100,0.984700,1,1
