,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,9.3800000000,9.4500000000,9.2700000000,9.3500000000,9.4000000000,-0.531907,0.314724,1,0
1,2019-06-18,9.3500000000,9.4300000000,9.2800000000,9.3500000000,9.3500000000,0.000000,0.183510,1,0
2,2019-06-19,9.4700000000,9.5400000000,9.3600000000,9.3600000000,9.3500000000,0.106944,0.420755,1,0
3,2019-06-20,9.3100000000,9.4900000000,9.2200000000,9.4200000000,9.3600000000,0.641030,0.551950,1,0
4,2019-06-21,9.4800000000,9.7300000000,9.4600000000,9.6800000000,9.4200000000,2.760087,0.764369,1,0
5,2019-06-24,9.6900000000,9.7600000000,9.5000000000,9.7300000000,9.6800000000,0.516521,0.678002,1,0
6,2019-06-25,9.7000000000,9.7600000000,9.5600000000,9.6700000000,9.7300000000,-0.616644,0.504385,1,0
7,2019-06-26,9.6700000000,9.8200000000,9.6500000000,9.6700000000,9.6700000000,0.000000,0.570373,1,0
8,2019-06-27,9.6600000000,9.9300000000,9.6600000000,9.7800000000,9.6700000000,1.137535,0.684908,1,0
9,2019-06-28,9.7700000000,9.8700000000,9.6700000000,9.7600000000,9.7800000000,-0.204494,0.442211,1,0
10,2019-07-01,9.8800000000,9.9600000000,9.8000000000,9.9200000000,9.7600000000,1.639343,0.586410,1,0
11,2019-07-02,9.9200000000,9.9500000000,9.8000000000,9.9400000000,9.9200000000,0.201608,0.654583,1,0
12,2019-07-03,9.9400000000,10.1400000000,9.8700000000,9.9800000000,9.9400000000,0.402414,0.855302,1,0
13,2019-07-04,9.9600000000,10.2100000000,9.8200000000,10.1300000000,9.9800000000,1.503012,1.055997,1,0
14,2019-07-05,10.1500000000,10.2500000000,10.0500000000,10.0800000000,10.1300000000,-0.493585,0.732137,1,0
15,2019-07-08,10.0800000000,10.0900000000,9.8100000000,9.9600000000,10.0800000000,-1.190475,0.726465,1,0
16,2019-07-09,9.9800000000,10.0300000000,9.6200000000,9.8000000000,9.9600000000,-1.606424,0.761875,1,0
17,2019-07-10,9.7000000000,9.9200000000,9.7000000000,9.8100000000,9.8000000000,0.102043,0.442863,1,0
18,2019-07-11,9.8900000000,9.9800000000,9.8000000000,9.8100000000,9.8100000000,0.000000,0.436925,1,0
19,2019-07-12,9.7900000000,9.9600000000,9.7200000000,9.8800000000,9.8100000000,0.713554,0.310207,1,0
20,2019-07-15,9.8900000000,10.0500000000,9.7600000000,10.0400000000,9.8800000000,1.619432,0.589002,1,0
21,2019-07-16,10.0500000000,10.1700000000,9.9800000000,10.0100000000,10.0400000000,-0.298802,0.416014,1,0
