,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,5.5200000000,5.5200000000,5.3900000000,5.4300000000,5.5200000000,-1.630400,0.346800,1,0
1,2019-08-14,5.4900000000,5.5300000000,5.4100000000,5.4400000000,5.4300000000,0.184200,0.367000,1,0
2,2019-08-15,5.3000000000,5.4400000000,5.2200000000,5.4400000000,5.4400000000,0.000000,0.440000,1,0
3,2019-08-16,5.4400000000,5.6300000000,5.4200000000,5.4700000000,5.4400000000,0.551500,0.631300,1,0
4,2019-08-19,5.4900000000,5.6100000000,5.4000000000,5.5800000000,5.4700000000,2.011000,0.678800,1,0
5,2019-08-20,5.5900000000,5.6700000000,5.5700000000,5.6000000000,5.5800000000,0.358400,0.890100,1,0
6,2019-08-21,5.6000000000,5.6500000000,5.5300000000,5.5900000000,5.6000000000,-0.178600,0.556100,1,0
7,2019-08-22,5.5800000000,5.6000000000,5.4900000000,5.5200000000,5.5900000000,-1.252200,0.815900,1,0
8,2019-08-23,5.5300000000,5.5500000000,5.4700000000,5.4700000000,5.5200000000,-0.905800,0.528300,1,0
9,2019-08-26,5.4000000000,5.4800000000,5.3600000000,5.4400000000,5.4700000000,-0.548400,0.590300,1,0
10,2019-08-27,5.4800000000,5.5900000000,5.4600000000,5.5600000000,5.4400000000,2.205900,0.981200,1,0
11,2019-08-28,5.5500000000,5.6500000000,5.5200000000,5.5500000000,5.5600000000,-0.179900,0.578400,1,0
12,2019-08-29,5.6000000000,5.6500000000,5.5300000000,5.5600000000,5.5500000000,0.180200,0.757600,1,0
13,2019-08-30,5.6000000000,5.6300000000,5.4200000000,5.4200000000,5.5600000000,-2.518000,0.815200,1,0
14,2019-09-02,5.4100000000,5.6100000000,5.3700000000,5.6100000000,5.4200000000,3.505500,1.475500,1,0
15,2019-09-03,5.6300000000,5.7700000000,5.6300000000,5.7300000000,5.6100000000,2.139000,2.616300,1,0
16,2019-09-04,5.7000000000,5.7400000000,5.6500000000,5.6900000000,5.7300000000,-0.698100,1.241500,1,0
17,2019-09-05,5.6900000000,5.7800000000,5.6600000000,5.6900000000,5.6900000000,0.000000,1.100300,1,0
18,2019-09-06,5.8600000000,5.8600000000,5.6600000000,5.7800000000,5.6900000000,1.581700,2.771100,1,0
19,2019-09-09,5.7900000000,5.8500000000,5.7300000000,5.8100000000,5.7800000000,0.519000,1.776600,1,0
20,2019-09-10,5.8100000000,5.8100000000,5.7400000000,5.7800000000,5.8100000000,-0.516300,0.869300,1,0
21,2019-09-11,5.8100000000,5.8400000000,5.7500000000,5.7700000000,5.7800000000,-0.173000,0.859700,1,0
22,2019-09-12,5.7800000000,5.8100000000,5.7500000000,5.8000000000,5.7700000000,0.519900,1.459100,1,0
