,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,6.8700000000,6.9000000000,6.8100000000,6.8500000000,6.9200000000,-1.011600,0.539700,1,0
1,2019-08-14,6.9200000000,6.9500000000,6.8500000000,6.8700000000,6.8500000000,0.292000,0.612500,1,0
2,2019-08-15,6.6600000000,6.9200000000,6.5700000000,6.8700000000,6.8700000000,0.000000,0.690800,1,0
3,2019-08-16,6.8500000000,6.9300000000,6.8100000000,6.8700000000,6.8700000000,0.000000,0.603100,1,0
4,2019-08-19,6.9200000000,7.0700000000,6.8900000000,7.0400000000,6.8700000000,2.474500,1.122300,1,0
5,2019-08-20,7.0700000000,7.2000000000,7.0200000000,7.0700000000,7.0400000000,0.426100,1.176200,1,0
6,2019-08-21,7.0800000000,7.2900000000,7.0500000000,7.2000000000,7.0700000000,1.838800,1.312300,1,0
7,2019-08-22,7.2500000000,7.2600000000,7.1200000000,7.2000000000,7.2000000000,0.000000,0.688200,1,0
8,2019-08-23,7.1900000000,7.2300000000,7.1300000000,7.1700000000,7.2000000000,-0.416700,0.567400,1,0
9,2019-08-26,7.0600000000,7.1200000000,6.9000000000,7.0700000000,7.1700000000,-1.394700,0.523800,1,0
10,2019-08-27,7.0800000000,7.2400000000,7.0800000000,7.2200000000,7.0700000000,2.121600,0.755400,1,0
11,2019-08-28,7.2100000000,7.3000000000,7.1600000000,7.2400000000,7.2200000000,0.277000,0.902900,1,0
12,2019-08-29,7.2500000000,7.3100000000,7.1600000000,7.2000000000,7.2400000000,-0.552500,0.610400,1,0
13,2019-08-30,7.2500000000,7.3000000000,7.0500000000,7.1800000000,7.2000000000,-0.277800,0.798500,1,0
14,2019-09-02,7.2000000000,7.3300000000,7.1400000000,7.3200000000,7.1800000000,1.949900,1.230300,1,0
15,2019-09-03,7.3000000000,7.3900000000,7.2600000000,7.3000000000,7.3200000000,-0.273200,0.906300,1,0
16,2019-09-04,7.2900000000,7.3300000000,7.2000000000,7.3200000000,7.3000000000,0.274000,0.923800,1,0
17,2019-09-05,7.3500000000,7.5300000000,7.3300000000,7.3800000000,7.3200000000,0.819700,2.015200,1,0
18,2019-09-06,7.4000000000,7.4300000000,7.3200000000,7.3700000000,7.3800000000,-0.135500,0.972000,1,0
19,2019-09-09,7.4600000000,7.4900000000,7.3600000000,7.4500000000,7.3700000000,1.085500,1.235700,1,0
20,2019-09-10,7.4700000000,7.5800000000,7.4100000000,7.4900000000,7.4500000000,0.536900,1.661500,1,0
21,2019-09-11,7.4900000000,7.5700000000,7.4400000000,7.4700000000,7.4900000000,-0.267000,1.010100,1,0
22,2019-09-12,7.5000000000,7.5200000000,7.3900000000,7.4600000000,7.4700000000,-0.133900,0.922000,1,0
