,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,3.2700000000,3.2800000000,3.2200000000,3.2500000000,3.2300000000,0.619194,0.407928,1,0
1,2019-06-18,3.2600000000,3.2700000000,3.2000000000,3.2100000000,3.2500000000,-1.230768,0.564498,1,0
2,2019-06-19,3.2600000000,3.3100000000,3.2500000000,3.2500000000,3.2100000000,1.246105,0.701094,1,0
3,2019-06-20,3.2700000000,3.3200000000,3.2200000000,3.3000000000,3.2500000000,1.538460,0.814762,1,0
4,2019-06-21,3.6300000000,3.6300000000,3.4600000000,3.5000000000,3.3000000000,6.060608,4.263366,1,0
5,2019-06-24,3.5200000000,3.5200000000,3.3900000000,3.4500000000,3.5000000000,-1.428570,2.270910,1,0
6,2019-06-25,3.4700000000,3.4900000000,3.3700000000,3.4200000000,3.4500000000,-0.869564,1.791607,1,0
7,2019-06-26,3.4300000000,3.4300000000,3.3400000000,3.3600000000,3.4200000000,-1.754391,1.575980,1,0
8,2019-06-27,3.3700000000,3.4000000000,3.3500000000,3.4000000000,3.3600000000,1.190482,1.144106,1,0
9,2019-06-28,3.4100000000,3.4100000000,3.2600000000,3.2900000000,3.4000000000,-3.235298,1.122731,1,0
10,2019-07-01,3.3200000000,3.3700000000,3.3200000000,3.3600000000,3.2900000000,2.127658,1.365213,1,0
11,2019-07-02,3.3600000000,3.3700000000,3.2900000000,3.3000000000,3.3600000000,-1.785713,1.090998,1,0
12,2019-07-03,3.3200000000,3.3200000000,3.2300000000,3.2500000000,3.3000000000,-1.515150,1.171658,1,0
13,2019-07-04,3.2500000000,3.3000000000,3.2200000000,3.2500000000,3.2500000000,0.000000,1.019427,1,0
14,2019-07-05,3.2500000000,3.2600000000,3.2200000000,3.2400000000,3.2500000000,-0.307692,0.644138,1,0
15,2019-07-08,3.2600000000,3.2600000000,3.1100000000,3.1100000000,3.2400000000,-4.012349,1.077359,1,0
16,2019-07-09,3.1300000000,3.1400000000,3.0800000000,3.1100000000,3.1100000000,0.000000,0.613206,1,0
17,2019-07-10,3.1200000000,3.1300000000,3.0400000000,3.0800000000,3.1100000000,-0.964629,0.543308,1,0
18,2019-07-11,3.0900000000,3.1600000000,3.0900000000,3.1200000000,3.0800000000,1.298700,0.871580,1,0
19,2019-07-12,3.1600000000,3.2600000000,3.1200000000,3.1800000000,3.1200000000,1.923083,1.562015,1,0
20,2019-07-15,3.1500000000,3.2800000000,2.9500000000,3.2300000000,3.1800000000,1.572325,2.971973,1,0
21,2019-07-16,3.3700000000,3.5300000000,3.3000000000,3.3000000000,3.2300000000,2.167181,5.344466,1,0
22,2019-07-17,3.1800000000,3.2300000000,3.1600000000,3.1700000000,3.3000000000,-3.939390,3.131291,1,0
23,2019-07-18,3.1100000000,3.1300000000,3.0100000000,3.0500000000,3.1700000000,-3.785493,1.906315,1,0
24,2019-07-19,3.0500000000,3.1200000000,3.0300000000,3.0500000000,3.0500000000,0.000000,0.890478,1,0
25,2019-07-22,3.0000000000,3.0400000000,2.9200000000,2.9500000000,3.0500000000,-3.278685,1.217035,1,0
26,2019-07-23,2.9400000000,2.9900000000,2.9200000000,2.9900000000,2.9500000000,1.355931,0.556930,1,0
