,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,22.5600000000,22.8700000000,22.0700000000,22.7500000000,22.5600000000,0.842201,3.741062,1,0
1,2019-06-18,22.7900000000,22.9700000000,22.4300000000,22.6200000000,22.7500000000,-0.571425,3.254433,1,0
2,2019-06-19,23.2800000000,23.5000000000,22.8000000000,22.8800000000,22.6200000000,1.149418,5.507128,1,0
3,2019-06-20,21.8000000000,21.8500000000,20.5900000000,21.5800000000,22.8800000000,-5.681815,10.083900,1,0
4,2019-06-21,21.5500000000,22.1900000000,21.5500000000,21.8700000000,21.5800000000,1.343841,6.653987,1,0
5,2019-06-24,21.8800000000,21.9500000000,21.2600000000,21.4100000000,21.8700000000,-2.103342,4.883002,1,0
6,2019-06-25,21.5300000000,21.6900000000,20.7500000000,21.1200000000,21.4100000000,-1.354503,4.607890,1,0
7,2019-06-26,21.0600000000,21.4200000000,20.8400000000,21.1700000000,21.1200000000,0.236739,3.435887,1,0
8,2019-06-27,21.2500000000,21.9900000000,21.1500000000,21.7700000000,21.1700000000,2.834201,5.918206,1,0
9,2019-06-28,21.6400000000,21.6800000000,20.8800000000,21.0100000000,21.7700000000,-3.491044,4.667889,1,0
10,2019-07-01,21.5300000000,21.7500000000,21.5300000000,21.6100000000,21.0100000000,2.855785,4.987131,1,0
11,2019-07-02,21.7800000000,21.7800000000,21.3800000000,21.5800000000,21.6100000000,-0.138828,3.881252,1,0
12,2019-07-03,21.1500000000,21.1500000000,20.5000000000,20.7300000000,21.5800000000,-3.938834,4.375704,1,0
13,2019-07-04,20.7700000000,20.8300000000,20.3800000000,20.5100000000,20.7300000000,-1.061261,2.668203,1,0
14,2019-07-05,20.5100000000,20.6100000000,20.3300000000,20.5600000000,20.5100000000,0.243780,2.070659,1,0
15,2019-07-08,20.5000000000,20.5000000000,19.5000000000,19.5500000000,20.5600000000,-4.912453,3.598369,1,0
16,2019-07-09,19.5700000000,19.8800000000,19.5500000000,19.6400000000,19.5500000000,0.460359,1.743818,1,0
17,2019-07-10,19.7500000000,19.8000000000,18.9100000000,19.3600000000,19.6400000000,-1.425656,2.211678,1,0
18,2019-07-11,19.4300000000,19.6300000000,19.0300000000,19.2000000000,19.3600000000,-0.826446,1.896441,1,0
19,2019-07-12,19.1700000000,19.2100000000,18.6500000000,18.7000000000,19.2000000000,-2.604167,3.145701,1,0
20,2019-07-15,18.5900000000,19.5000000000,18.4100000000,19.3700000000,18.7000000000,3.582888,3.894073,1,0
21,2019-07-16,19.3800000000,19.8000000000,19.2200000000,19.5500000000,19.3700000000,0.929264,2.673511,1,0
22,2019-07-17,19.3500000000,19.7000000000,19.1600000000,19.2600000000,19.5500000000,-1.483371,2.718380,1,0
23,2019-07-18,19.0100000000,19.1400000000,18.7200000000,18.8000000000,19.2600000000,-2.388375,2.230679,1,0
24,2019-07-19,18.8100000000,19.1500000000,18.7900000000,18.8000000000,18.8000000000,0.000000,1.718540,1,0
25,2019-07-22,18.8200000000,18.9800000000,18.0100000000,18.0800000000,18.8000000000,-3.829784,2.136291,1,0
26,2019-07-23,18.1100000000,18.4500000000,18.0400000000,18.3200000000,18.0800000000,1.327432,2.124655,1,0
27,2019-07-24,18.4200000000,18.8100000000,18.3600000000,18.6300000000,18.3200000000,1.692137,2.860957,1,0
28,2019-07-25,18.7300000000,18.9300000000,18.5600000000,18.6700000000,18.6300000000,0.214712,2.165362,1,0
29,2019-07-26,18.7700000000,18.8200000000,18.6000000000,18.6500000000,18.6700000000,-0.107100,2.024200,1,0
30,2019-07-29,18.8000000000,19.2600000000,18.4500000000,19.2500000000,18.6500000000,3.217160,3.703013,1,0
