,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-06-17,11.3688391600,11.4579676900,11.2400979500,11.3193233100,11.3886455000,-0.608693,1.401282,1,0
1,2019-06-18,11.3193233100,11.4579676900,11.2202916100,11.3886455000,11.3193233100,0.612421,1.045081,1,0
2,2019-06-19,11.4876772000,11.6758374300,11.3886455000,11.3985486700,11.3886455000,0.086959,2.907376,1,0
3,2019-06-20,11.3886455000,11.5669025600,11.2797106300,11.5272898800,11.3985486700,1.129454,2.864540,1,0
4,2019-06-21,11.5669025600,11.7649659600,11.5371930500,11.7649659600,11.5272898800,2.061854,3.217789,1,0
5,2019-06-24,11.7550627900,11.7550627900,11.6065152400,11.7253532800,11.7649659600,-0.336700,2.011714,1,0
6,2019-06-25,11.7253532800,11.8045786400,11.6065152400,11.7055469400,11.7253532800,-0.168923,1.914641,1,0
7,2019-06-26,11.7154501100,11.7649659600,11.5669025600,11.7649659600,11.7055469400,0.507618,1.922577,1,0
8,2019-06-27,11.7352564500,11.8342881500,11.6560310900,11.6857406000,11.7649659600,-0.673400,1.969351,1,0
9,2019-06-28,11.6659342600,11.6659342600,11.4480645200,11.5272898800,11.6857406000,-1.355931,1.634506,1,0
10,2019-07-01,11.6461279200,11.8342881500,11.6461279200,11.7847723000,11.5272898800,2.233671,2.299063,1,0
11,2019-07-02,11.7748691300,11.8838040000,11.6857406000,11.8243849800,11.7847723000,0.336134,1.988863,1,0
12,2019-07-03,11.7352564500,11.8144818100,11.5867089000,11.7055469400,11.8243849800,-1.005024,1.936133,1,0
13,2019-07-04,11.7253532800,11.7946754700,11.5768057300,11.6065152400,11.7055469400,-0.846019,1.729674,1,0
14,2019-07-05,11.6065152400,11.7253532800,11.5371930500,11.7253532800,11.6065152400,1.023890,1.515788,1,0
15,2019-07-08,11.6659342600,11.6758374300,11.1014535700,11.1608725900,11.7253532800,-4.814187,2.697824,1,0
16,2019-07-09,11.1410662500,11.1707757600,11.0321313800,11.0519377200,11.1608725900,-0.976048,1.689428,1,0
17,2019-07-10,11.1212599100,11.1410662500,10.8538743200,10.9529060200,11.0519377200,-0.896052,2.070276,1,0
