,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,5.5100000000,5.5400000000,5.4800000000,5.5300000000,5.5500000000,-0.360400,0.058400,1,0
1,2019-08-14,5.5700000000,5.5900000000,5.5400000000,5.5700000000,5.5300000000,0.723300,0.097800,1,0
2,2019-08-15,5.5400000000,5.7000000000,5.4700000000,5.7000000000,5.5700000000,2.333900,0.165800,1,0
3,2019-08-16,5.6400000000,5.7400000000,5.6300000000,5.6800000000,5.7000000000,-0.350900,0.120700,1,0
4,2019-08-19,6.0400000000,6.2500000000,6.0200000000,6.2500000000,5.6800000000,10.035200,1.016200,1,0
5,2019-08-20,6.5000000000,6.7800000000,6.2200000000,6.2400000000,6.2500000000,-0.160000,1.930200,1,0
6,2019-08-21,6.1400000000,6.1800000000,6.0300000000,6.0500000000,6.2400000000,-3.044900,0.715600,1,0
7,2019-08-22,6.0800000000,6.2400000000,6.0400000000,6.1100000000,6.0500000000,0.991700,0.643500,1,0
8,2019-08-23,6.1500000000,6.1800000000,6.0100000000,6.0600000000,6.1100000000,-0.818300,0.551400,1,0
9,2019-08-26,5.9500000000,6.1400000000,5.8900000000,6.0800000000,6.0600000000,0.330000,0.466700,1,0
10,2019-08-27,6.1000000000,6.2300000000,6.0700000000,6.1100000000,6.0800000000,0.493400,0.451600,1,0
11,2019-08-28,6.0700000000,6.2300000000,6.0100000000,6.1300000000,6.1100000000,0.327300,0.400600,1,0
12,2019-08-29,6.1000000000,6.1000000000,6.0400000000,6.0800000000,6.1300000000,-0.815700,0.254000,1,0
13,2019-08-30,6.0900000000,6.1100000000,6.0000000000,6.0300000000,6.0800000000,-0.822400,0.238900,1,0
14,2019-09-02,6.0500000000,6.0600000000,5.9600000000,6.0300000000,6.0300000000,0.000000,0.234900,1,0
15,2019-09-03,6.0600000000,6.1900000000,6.0200000000,6.1100000000,6.0300000000,1.326700,0.269500,1,0
16,2019-09-04,6.1000000000,6.1900000000,6.0900000000,6.1800000000,6.1100000000,1.145700,0.274300,1,0
17,2019-09-05,6.2200000000,6.5700000000,6.1700000000,6.3600000000,6.1800000000,2.912600,0.643200,1,0
18,2019-09-06,6.2700000000,6.3700000000,6.2400000000,6.2800000000,6.3600000000,-1.257900,0.363000,1,0
19,2019-09-09,6.3100000000,6.3400000000,6.2300000000,6.2600000000,6.2800000000,-0.318500,0.231500,1,0
20,2019-09-10,6.2400000000,6.3000000000,6.1900000000,6.2400000000,6.2600000000,-0.319500,0.191300,1,0
21,2019-09-11,6.2300000000,6.2600000000,6.1900000000,6.2100000000,6.2400000000,-0.480800,0.169000,1,0
22,2019-09-12,6.2300000000,6.2600000000,6.1800000000,6.2200000000,6.2100000000,0.161000,0.107300,1,0
