,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,2.6900000000,2.7200000000,2.5700000000,2.6300000000,2.7300000000,-3.663000,3.702800,1,0
1,2019-08-14,2.6500000000,2.7500000000,2.6100000000,2.6400000000,2.6300000000,0.380200,2.886100,1,0
2,2019-08-15,2.5600000000,2.6300000000,2.5200000000,2.6300000000,2.6400000000,-0.378800,1.780100,1,0
3,2019-08-16,2.6000000000,2.7500000000,2.5900000000,2.6600000000,2.6300000000,1.140700,2.603500,1,0
4,2019-08-19,2.6700000000,2.7300000000,2.6400000000,2.7000000000,2.6600000000,1.503800,3.017600,1,0
5,2019-08-20,2.7200000000,2.8200000000,2.6900000000,2.7300000000,2.7000000000,1.111100,3.959800,1,0
6,2019-08-21,2.7100000000,2.7900000000,2.6800000000,2.7200000000,2.7300000000,-0.366300,2.390900,1,0
7,2019-08-22,2.7300000000,2.8300000000,2.6900000000,2.8000000000,2.7200000000,2.941200,4.057100,1,0
8,2019-08-23,2.7700000000,2.8000000000,2.7000000000,2.7300000000,2.8000000000,-2.500000,2.466500,1,0
9,2019-08-26,2.6600000000,2.7000000000,2.6300000000,2.6600000000,2.7300000000,-2.564100,1.779100,1,0
10,2019-08-27,2.6800000000,2.7700000000,2.6500000000,2.7500000000,2.6600000000,3.383500,2.251800,1,0
11,2019-08-28,2.7300000000,2.8200000000,2.7200000000,2.7800000000,2.7500000000,1.090900,2.359900,1,0
12,2019-08-29,2.7800000000,2.7900000000,2.7000000000,2.7000000000,2.7800000000,-2.877700,2.038700,1,0
13,2019-08-30,2.6900000000,2.7200000000,2.5400000000,2.5900000000,2.7000000000,-4.074100,2.763400,1,0
14,2019-09-02,2.5800000000,2.6300000000,2.5600000000,2.6100000000,2.5900000000,0.772200,2.043300,1,0
15,2019-09-03,2.6200000000,2.7000000000,2.6100000000,2.6700000000,2.6100000000,2.298900,2.365800,1,0
16,2019-09-04,2.6700000000,2.9400000000,2.6500000000,2.8500000000,2.6700000000,6.741600,8.386700,1,0
17,2019-09-05,2.8200000000,2.9200000000,2.7800000000,2.8000000000,2.8500000000,-1.754400,6.514200,1,0
18,2019-09-06,2.8700000000,3.0800000000,2.8400000000,3.0600000000,2.8000000000,9.285700,9.287200,1,0
19,2019-09-09,3.0000000000,3.0600000000,2.9600000000,3.0600000000,3.0600000000,0.000000,5.927500,1,0
20,2019-09-10,3.0300000000,3.0400000000,2.9300000000,2.9500000000,3.0600000000,-3.594800,4.437300,1,0
21,2019-09-11,2.9600000000,3.0200000000,2.8800000000,2.9400000000,2.9500000000,-0.339000,4.371000,1,0
22,2019-09-12,2.9200000000,2.9400000000,2.8900000000,2.9100000000,2.9400000000,-1.020400,2.567900,1,0
