,date,open,high,low,close,preclose,pctChg,turn,tradestatus,isST
0,2019-08-13,3.3800000000,3.4600000000,3.3700000000,3.4100000000,3.4200000000,-0.292400,1.189100,1,0
1,2019-08-14,3.4500000000,3.4900000000,3.4100000000,3.4200000000,3.4100000000,0.293300,1.831800,1,0
2,2019-08-15,3.3400000000,3.4800000000,3.3100000000,3.4600000000,3.4200000000,1.169600,1.615500,1,0
3,2019-08-16,3.4500000000,3.5000000000,3.4300000000,3.4500000000,3.4600000000,-0.289000,1.520900,1,0
4,2019-08-19,3.4600000000,3.5600000000,3.4500000000,3.5600000000,3.4500000000,3.188400,1.873300,1,0
5,2019-08-20,3.5100000000,3.6300000000,3.5100000000,3.5300000000,3.5600000000,-0.842700,2.578200,1,0
6,2019-08-21,3.5200000000,3.5500000000,3.4800000000,3.5200000000,3.5300000000,-0.283300,1.522000,1,0
7,2019-08-22,3.5300000000,3.5500000000,3.4800000000,3.5300000000,3.5200000000,0.284100,1.272300,1,0
8,2019-08-23,3.5200000000,3.5400000000,3.4400000000,3.4700000000,3.5300000000,-1.699700,1.657000,1,0
9,2019-08-26,3.3500000000,3.4200000000,3.3400000000,3.4000000000,3.4700000000,-2.017300,1.611200,1,0
10,2019-08-27,3.4300000000,3.5400000000,3.4000000000,3.5100000000,3.4000000000,3.235300,1.711200,1,0
11,2019-08-28,3.5000000000,3.5700000000,3.4900000000,3.5300000000,3.5100000000,0.569800,1.751200,1,0
12,2019-08-29,3.5400000000,3.5800000000,3.5100000000,3.5500000000,3.5300000000,0.566600,1.421800,1,0
13,2019-08-30,3.5700000000,3.5900000000,3.4000000000,3.4200000000,3.5500000000,-3.662000,2.423800,1,0
14,2019-09-02,3.4000000000,3.5700000000,3.3900000000,3.5400000000,3.4200000000,3.508800,2.400500,1,0
15,2019-09-03,3.5800000000,3.6500000000,3.5700000000,3.6200000000,3.5400000000,2.259900,2.612700,1,0
16,2019-09-04,3.6100000000,3.7200000000,3.5900000000,3.6500000000,3.6200000000,0.828700,2.839600,1,0
17,2019-09-05,3.7000000000,3.7500000000,3.6500000000,3.6700000000,3.6500000000,0.547900,2.174200,1,0
18,2019-09-06,3.7100000000,3.7300000000,3.6500000000,3.7100000000,3.6700000000,1.089900,1.798400,1,0
19,2019-09-09,3.7400000000,3.8400000000,3.6900000000,3.8200000000,3.7100000000,2.965000,3.336300,1,0
20,2019-09-10,3.8600000000,3.9000000000,3.7700000000,3.8000000000,3.8200000000,-0.523600,2.880200,1,0
21,2019-09-11,3.8800000000,3.9300000000,3.7600000000,3.7800000000,3.8000000000,-0.526300,2.464500,1,0
22,2019-09-12,3.7800000000,3.8100000000,3.7400000000,3.7800000000,3.7800000000,0.000000,1.869800,1,0
